genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,27,37,27,26,66,27.27,37.37,27.27,26.26,66.67
Pop,141,29,22,33,33,77,20.57,15.6,23.4,23.4,54.61
Lock,141,33,46,44,38,89,23.4,32.62,31.21,26.95,63.12
Middle Hip-hop,140,38,40,49,46,97,27.14,28.57,35.0,32.86,69.29
LA style Hip-hop,141,30,41,31,34,80,21.28,29.08,21.99,24.11,56.74
House,136,50,57,67,67,116,36.76,41.91,49.26,49.26,85.29
Waack,141,38,36,35,39,85,26.95,25.53,24.82,27.66,60.28
Krump,137,50,42,38,39,95,36.5,30.66,27.74,28.47,69.34
Street Jazz,129,30,28,33,35,70,23.26,21.71,25.58,27.13,54.26
Ballet Jazz,136,35,40,38,40,84,25.74,29.41,27.94,29.41,61.76
