genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,50.0,33.33,0.0,10.0,22.22,10.0
Pop,44.44,13.33,6.67,20.0,13.33,20.0
Lock,6.25,33.33,5.56,20.0,6.25,27.78
Middle Hip-hop,27.27,35.29,5.88,13.33,13.33,5.88
LA style Hip-hop,25.0,50.0,25.0,0.0,11.76,5.0
House,25.0,46.15,17.95,11.76,17.65,15.38
Waack,41.18,16.67,13.33,17.65,13.33,17.65
Krump,38.46,17.39,23.08,21.74,17.39,7.69
Street Jazz,41.67,37.5,18.75,6.67,6.67,18.75
Ballet Jazz,23.08,17.65,5.88,15.38,7.69,0.0
