genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,68.75,36.67,30.23,37.5,30.23,22.92
Pop,50.0,25.0,17.24,13.95,17.24,18.6
Lock,36.11,21.05,13.79,30.56,20.69,27.78
Middle Hip-hop,79.49,54.29,35.9,31.17,33.33,33.77
LA style Hip-hop,53.33,67.65,30.77,31.67,32.69,33.33
House,92.74,51.85,37.9,31.97,31.45,40.16
Waack,46.67,20.0,14.29,23.33,17.86,20.0
Krump,60.78,46.15,45.65,43.14,52.17,35.29
Street Jazz,24.0,28.57,14.29,20.0,28.57,20.0
Ballet Jazz,38.24,43.33,41.18,39.39,35.29,39.39
