Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,47,99,47.47,Break,44,99,44.44
House,122,136,89.71,House,96,136,70.59
Ballet Jazz,47,136,34.56,Ballet Jazz,53,136,38.97
Street Jazz,33,129,25.58,Street Jazz,29,129,22.48
Krump,49,137,35.77,Krump,58,137,42.34
LA style Hip-hop,86,141,60.99,LA style Hip-hop,49,141,34.75
Lock,56,141,39.72,Lock,38,141,26.95
Middle Hip-hop,103,140,73.57,Middle Hip-hop,93,140,66.43
Pop,75,141,53.19,Pop,44,141,31.21
Waack,43,141,30.5,Waack,42,141,29.79
