Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,63,99,63.64,Break,53,99,53.54
House,131,136,96.32,House,129,136,94.85
Ballet Jazz,77,136,56.62,Ballet Jazz,60,136,44.12
Street Jazz,54,129,41.86,Street Jazz,57,129,44.19
Krump,86,137,62.77,Krump,58,137,42.34
LA style Hip-hop,91,141,64.54,LA style Hip-hop,71,141,50.35
Lock,72,141,51.06,Lock,47,141,33.33
Middle Hip-hop,120,140,85.71,Middle Hip-hop,83,140,59.29
Pop,86,141,60.99,Pop,67,141,47.52
Waack,67,141,47.52,Waack,57,141,40.43
