Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,64,99,64.65,Break,53,99,53.54
House,128,136,94.12,House,129,136,94.85
Ballet Jazz,74,136,54.41,Ballet Jazz,60,136,44.12
Street Jazz,53,129,41.09,Street Jazz,57,129,44.19
Krump,79,137,57.66,Krump,58,137,42.34
LA style Hip-hop,96,141,68.09,LA style Hip-hop,71,141,50.35
Lock,69,141,48.94,Lock,47,141,33.33
Middle Hip-hop,119,140,85.0,Middle Hip-hop,83,140,59.29
Pop,88,141,62.41,Pop,67,141,47.52
Waack,65,141,46.1,Waack,57,141,40.43
