Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,66,99,66.67,Break,53,99,53.54
House,123,136,90.44,House,129,136,94.85
Ballet Jazz,74,136,54.41,Ballet Jazz,60,136,44.12
Street Jazz,62,129,48.06,Street Jazz,57,129,44.19
Krump,79,137,57.66,Krump,58,137,42.34
LA style Hip-hop,90,141,63.83,LA style Hip-hop,71,141,50.35
Lock,74,141,52.48,Lock,47,141,33.33
Middle Hip-hop,120,140,85.71,Middle Hip-hop,83,140,59.29
Pop,98,141,69.5,Pop,67,141,47.52
Waack,75,141,53.19,Waack,57,141,40.43
