Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,54,99,54.55,Break,32,99,32.32
House,116,136,85.29,House,85,136,62.5
Ballet Jazz,52,136,38.24,Ballet Jazz,50,136,36.76
Street Jazz,34,129,26.36,Street Jazz,38,129,29.46
Krump,61,137,44.53,Krump,54,137,39.42
LA style Hip-hop,79,141,56.03,LA style Hip-hop,45,141,31.91
Lock,58,141,41.13,Lock,43,141,30.5
Middle Hip-hop,101,140,72.14,Middle Hip-hop,94,140,67.14
Pop,77,141,54.61,Pop,52,141,36.88
Waack,49,141,34.75,Waack,48,141,34.04
