genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,83.33,66.67,70.37,75.56,66.67,85.19
Pop,74.12,47.37,70.18,63.16,71.93,57.89
Lock,58.46,54.39,57.89,65.52,51.72,59.65
Middle Hip-hop,92.98,89.22,85.71,86.27,83.33,87.62
LA style Hip-hop,83.0,56.92,76.39,81.54,76.92,81.94
House,91.3,78.95,85.0,95.79,85.26,91.0
Waack,58.33,43.4,49.09,62.26,43.4,58.18
Krump,62.5,75.0,72.22,66.67,58.33,71.05
Street Jazz,51.11,45.0,37.5,40.0,46.0,37.5
Ballet Jazz,57.14,60.34,60.34,58.93,53.97,42.86
