genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,72,77,54,45,96,72.73,77.78,54.55,45.45,96.97
Pop,141,89,85,57,57,127,63.12,60.28,40.43,40.43,90.07
Lock,141,65,76,57,58,127,46.1,53.9,40.43,41.13,90.07
Middle Hip-hop,140,114,119,105,102,136,81.43,85.0,75.0,72.86,97.14
LA style Hip-hop,141,100,108,72,65,133,70.92,76.6,51.06,46.1,94.33
House,136,115,122,100,95,134,84.56,89.71,73.53,69.85,98.53
Waack,141,60,71,55,53,119,42.55,50.35,39.01,37.59,84.4
Krump,137,72,76,88,72,124,52.55,55.47,64.23,52.55,90.51
Street Jazz,129,50,45,40,50,102,38.76,34.88,31.01,38.76,79.07
Ballet Jazz,136,63,56,58,66,115,46.32,41.18,42.65,48.53,84.56
