genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,84.85,77.08,85.71,75.0,81.25,75.0
Pop,79.38,73.91,76.81,75.95,77.22,76.81
Lock,71.95,71.01,73.91,69.86,64.38,76.81
Middle Hip-hop,92.44,94.92,86.55,86.44,87.29,86.55
LA style Hip-hop,94.12,75.71,83.33,88.57,84.29,91.03
House,95.9,87.62,90.48,96.26,92.52,98.1
Waack,75.34,65.22,72.46,61.64,69.86,66.67
Krump,71.05,73.75,70.0,76.32,76.54,73.68
Street Jazz,53.45,58.93,48.21,63.79,64.41,44.64
Ballet Jazz,76.92,67.57,74.32,70.13,68.83,68.92
