genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage
Break,99,53,49,37,27,53.54,49.49,37.37,27.27
Pop,141,72,70,37,47,51.06,49.65,26.24,33.33
Lock,141,54,50,42,44,38.3,35.46,29.79,31.21
Middle Hip-hop,140,101,99,78,90,72.14,70.71,55.71,64.29
LA style Hip-hop,141,74,84,42,51,52.48,59.57,29.79,36.17
House,136,83,92,82,70,61.03,67.65,60.29,51.47
Waack,141,41,44,32,38,29.08,31.21,22.7,26.95
Krump,137,50,50,45,56,36.5,36.5,32.85,40.88
Street Jazz,129,40,30,26,35,31.01,23.26,20.16,27.13
Ballet Jazz,136,32,36,56,46,23.53,26.47,41.18,33.82
