genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,75.44,46.15,29.82,28.3,24.56,26.42
Pop,60.53,24.24,19.74,25.4,28.95,26.98
Lock,35.56,44.12,33.33,23.53,22.22,33.33
Middle Hip-hop,79.78,71.43,47.56,57.3,52.44,55.06
LA style Hip-hop,42.86,63.46,42.31,38.1,45.1,46.03
House,84.48,57.53,53.45,48.62,44.83,56.88
Waack,40.54,23.33,30.3,21.62,24.24,24.32
Krump,52.83,36.59,41.67,30.19,33.33,39.62
Street Jazz,31.43,33.33,36.11,19.35,28.57,22.22
Ballet Jazz,52.63,23.4,29.79,23.68,24.32,29.79
