genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,57,53,25,26,79,57.58,53.54,25.25,26.26,79.8
Pop,141,76,63,29,33,108,53.9,44.68,20.57,23.4,76.6
Lock,141,45,32,33,34,85,31.91,22.7,23.4,24.11,60.28
Middle Hip-hop,140,82,89,62,70,119,58.57,63.57,44.29,50.0,85.0
LA style Hip-hop,141,51,63,52,50,103,36.17,44.68,36.88,35.46,73.05
House,136,116,109,73,60,133,85.29,80.15,53.68,44.12,97.79
Waack,141,33,37,30,21,74,23.4,26.24,21.28,14.89,52.48
Krump,137,48,53,41,33,92,35.04,38.69,29.93,24.09,67.15
Street Jazz,129,35,23,36,31,80,27.13,17.83,27.91,24.03,62.02
Ballet Jazz,136,37,38,47,32,95,27.21,27.94,34.56,23.53,69.85
