genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,25,22,18,20,50,25.25,22.22,18.18,20.2,50.51
Pop,141,12,20,26,24,49,8.51,14.18,18.44,17.02,34.75
Lock,141,37,26,34,28,68,26.24,18.44,24.11,19.86,48.23
Middle Hip-hop,140,24,26,35,32,63,17.14,18.57,25.0,22.86,45.0
LA style Hip-hop,141,13,25,32,26,61,9.22,17.73,22.7,18.44,43.26
House,136,71,61,79,62,120,52.21,44.85,58.09,45.59,88.24
Waack,141,29,29,27,19,60,20.57,20.57,19.15,13.48,42.55
Krump,137,33,31,38,35,71,24.09,22.63,27.74,25.55,51.82
Street Jazz,129,22,20,20,20,47,17.05,15.5,15.5,15.5,36.43
Ballet Jazz,136,24,33,20,26,65,17.65,24.26,14.71,19.12,47.79
