genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage
Break,99,22,28,23,21,22.22,28.28,23.23,21.21
Pop,141,18,14,22,20,12.77,9.93,15.6,14.18
Lock,141,31,23,38,27,21.99,16.31,26.95,19.15
Middle Hip-hop,140,25,26,41,39,17.86,18.57,29.29,27.86
LA style Hip-hop,141,20,24,34,24,14.18,17.02,24.11,17.02
House,136,72,61,80,70,52.94,44.85,58.82,51.47
Waack,141,24,25,27,19,17.02,17.73,19.15,13.48
Krump,137,37,29,33,37,27.01,21.17,24.09,27.01
Street Jazz,129,24,19,19,21,18.6,14.73,14.73,16.28
Ballet Jazz,136,22,31,26,31,16.18,22.79,19.12,22.79
