genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,50.0,38.1,45.45,42.86,28.57,47.83
Pop,64.29,30.0,33.33,50.0,27.78,35.71
Lock,52.17,59.26,54.84,21.74,51.85,39.13
Middle Hip-hop,44.0,61.54,40.0,57.69,48.0,50.0
LA style Hip-hop,55.0,50.0,40.0,41.67,35.0,41.67
House,62.3,78.57,70.83,62.3,62.86,63.93
Waack,41.67,36.84,41.67,36.84,26.32,44.0
Krump,58.62,42.42,39.39,44.83,43.24,41.38
Street Jazz,68.42,31.58,52.63,36.84,28.57,52.63
Ballet Jazz,59.09,61.54,45.45,38.71,59.09,42.31
