genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,40.62,36.36,33.33,25.81,31.25,33.33
Pop,20.83,5.26,16.67,10.0,8.33,5.0
Lock,35.56,23.08,31.11,30.77,22.22,38.46
Middle Hip-hop,45.83,45.24,29.17,28.89,29.17,26.67
LA style Hip-hop,43.33,31.25,21.88,18.52,20.0,21.88
House,54.29,54.29,64.29,42.86,62.5,57.14
Waack,35.29,15.62,11.76,11.76,29.41,11.76
Krump,44.68,42.11,34.04,29.55,40.43,29.55
Street Jazz,45.0,10.71,21.43,11.11,10.0,14.29
Ballet Jazz,40.74,24.24,7.69,24.24,15.15,22.22
