genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,38,34,34,33,72,38.38,34.34,34.34,33.33,72.73
Pop,141,50,45,30,45,92,35.46,31.91,21.28,31.91,65.25
Lock,141,39,60,40,35,100,27.66,42.55,28.37,24.82,70.92
Middle Hip-hop,140,78,74,96,89,127,55.71,52.86,68.57,63.57,90.71
LA style Hip-hop,141,61,56,38,49,109,43.26,39.72,26.95,34.75,77.3
House,136,66,70,58,62,117,48.53,51.47,42.65,45.59,86.03
Waack,141,52,39,44,34,98,36.88,27.66,31.21,24.11,69.5
Krump,137,41,40,36,48,97,29.93,29.2,26.28,35.04,70.8
Street Jazz,129,38,33,45,37,94,29.46,25.58,34.88,28.68,72.87
Ballet Jazz,136,38,30,41,49,94,27.94,22.06,30.15,36.03,69.12
