genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,52.63,47.06,50.0,32.35,31.58,41.18
Pop,54.0,28.89,28.0,48.89,46.0,28.89
Lock,35.0,35.0,40.0,33.33,23.08,30.0
Middle Hip-hop,67.95,81.25,53.12,59.55,59.55,54.17
LA style Hip-hop,52.46,38.78,26.23,42.86,34.43,32.14
House,61.43,61.29,45.45,51.43,56.06,48.57
Waack,36.54,27.27,40.38,35.9,23.08,40.91
Krump,39.02,31.25,17.07,41.67,39.58,25.0
Street Jazz,23.68,33.33,31.11,18.92,39.47,26.67
Ballet Jazz,28.95,44.9,26.83,30.61,36.73,36.59
