genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,12,11,10,10,27,12.12,11.11,10.1,10.1,27.27
Pop,141,7,6,9,8,23,4.96,4.26,6.38,5.67,16.31
Lock,141,15,11,16,13,37,10.64,7.8,11.35,9.22,26.24
Middle Hip-hop,140,8,14,14,14,38,5.71,10.0,10.0,10.0,27.14
LA style Hip-hop,141,7,10,12,12,30,4.96,7.09,8.51,8.51,21.28
House,136,49,39,51,44,92,36.03,28.68,37.5,32.35,67.65
Waack,141,13,14,12,11,37,9.22,9.93,8.51,7.8,26.24
Krump,137,14,19,11,19,42,10.22,13.87,8.03,13.87,30.66
Street Jazz,129,9,9,5,10,21,6.98,6.98,3.88,7.75,16.28
Ballet Jazz,136,12,13,7,10,30,8.82,9.56,5.15,7.35,22.06
