genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,60.0,63.16,55.0,65.79,60.53,50.0
Pop,64.44,64.0,48.89,51.02,48.89,61.22
Lock,65.52,69.09,67.24,56.36,56.36,69.35
Middle Hip-hop,70.97,72.73,69.7,66.13,62.12,62.9
LA style Hip-hop,70.91,71.19,56.36,67.8,70.91,57.63
House,89.38,89.58,88.5,88.54,86.46,89.47
Waack,51.79,72.55,64.71,58.93,68.42,58.82
Krump,75.0,66.67,73.53,66.67,66.67,70.0
Street Jazz,61.9,58.49,56.82,73.81,65.91,64.29
Ballet Jazz,75.93,75.86,64.91,72.22,73.68,64.81
