genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,59.52,42.86,38.1,35.0,26.19,50.0
Pop,62.12,42.42,22.73,31.48,33.33,18.52
Lock,45.24,50.0,33.33,35.71,38.89,38.1
Middle Hip-hop,78.82,75.41,60.49,51.76,59.26,54.12
LA style Hip-hop,63.89,38.24,31.82,38.89,36.36,27.78
House,77.78,62.86,53.85,48.72,48.08,52.99
Waack,38.24,35.0,26.47,34.38,20.59,34.38
Krump,45.71,48.84,30.56,44.19,39.53,38.89
Street Jazz,29.63,24.0,28.0,22.22,28.0,29.63
Ballet Jazz,35.71,47.22,38.1,33.33,45.24,30.3
