genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,29,27,23,23,56,29.29,27.27,23.23,23.23,56.57
Pop,141,20,24,32,36,64,14.18,17.02,22.7,25.53,45.39
Lock,141,41,32,42,34,84,29.08,22.7,29.79,24.11,59.57
Middle Hip-hop,140,35,32,45,48,87,25.0,22.86,32.14,34.29,62.14
LA style Hip-hop,141,24,31,43,39,74,17.02,21.99,30.5,27.66,52.48
House,136,60,48,76,65,120,44.12,35.29,55.88,47.79,88.24
Waack,141,31,34,33,21,67,21.99,24.11,23.4,14.89,47.52
Krump,137,43,33,46,37,83,31.39,24.09,33.58,27.01,60.58
Street Jazz,129,32,21,31,29,61,24.81,16.28,24.03,22.48,47.29
Ballet Jazz,136,31,35,37,35,74,22.79,25.74,27.21,25.74,54.41
