genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,44.83,39.13,27.59,40.74,27.59,29.63
Pop,45.83,38.89,31.25,30.56,27.78,25.0
Lock,39.02,40.48,38.1,26.47,31.71,28.57
Middle Hip-hop,42.86,45.83,35.56,37.5,33.33,37.78
LA style Hip-hop,38.71,41.86,20.93,41.03,35.9,46.51
House,48.33,55.26,39.47,40.0,50.77,39.47
Waack,47.06,33.33,42.42,23.53,22.58,50.0
Krump,46.51,45.65,45.65,37.84,30.23,36.96
Street Jazz,40.62,38.71,37.5,31.03,40.62,35.48
Ballet Jazz,48.57,35.14,32.43,42.86,45.71,27.03
