genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,67.35,77.78,68.0,53.33,64.44,65.31
Pop,54.9,58.18,56.36,58.82,56.36,64.71
Lock,57.81,51.67,64.06,56.67,50.0,58.21
Middle Hip-hop,66.67,70.0,62.86,60.61,57.14,63.64
LA style Hip-hop,74.58,54.1,57.63,62.3,67.8,57.38
House,85.19,87.1,83.5,88.17,81.72,85.44
Waack,65.45,63.93,58.18,66.67,65.45,59.02
Krump,77.42,65.08,53.23,67.69,64.52,65.08
Street Jazz,72.73,54.9,55.1,59.09,61.22,59.09
Ballet Jazz,70.91,80.65,71.43,80.0,82.14,61.82
