genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,49,57,35,40,81,49.49,57.58,35.35,40.4,81.82
Pop,141,78,63,31,35,96,55.32,44.68,21.99,24.82,68.09
Lock,141,50,53,31,32,78,35.46,37.59,21.99,22.7,55.32
Middle Hip-hop,140,96,99,77,84,128,68.57,70.71,55.0,60.0,91.43
LA style Hip-hop,141,70,82,52,48,105,49.65,58.16,36.88,34.04,74.47
House,136,127,133,88,83,136,93.38,97.79,64.71,61.03,100.0
Waack,141,39,42,37,29,79,27.66,29.79,26.24,20.57,56.03
Krump,137,58,61,46,52,96,42.34,44.53,33.58,37.96,70.07
Street Jazz,129,37,42,21,38,76,28.68,32.56,16.28,29.46,58.91
Ballet Jazz,136,53,53,49,45,94,38.97,38.97,36.03,33.09,69.12
