genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,68.42,52.5,46.94,47.37,46.94,40.35
Pop,64.1,37.14,28.21,39.68,35.9,36.51
Lock,60.38,53.12,38.0,43.4,40.0,45.28
Middle Hip-hop,85.86,76.19,61.46,63.64,60.42,63.64
LA style Hip-hop,70.73,61.54,51.43,43.9,44.29,46.34
House,93.98,70.45,62.99,61.65,59.84,64.66
Waack,52.38,48.65,43.59,35.71,28.21,45.24
Krump,62.3,59.62,44.83,55.74,58.62,40.98
Street Jazz,40.48,34.21,16.22,52.38,50.0,30.95
Ballet Jazz,50.94,53.06,50.94,47.17,45.28,56.6
