genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage
Break,99,54,47,44,32,54.55,47.47,44.44,32.32
Pop,141,77,75,44,52,54.61,53.19,31.21,36.88
Lock,141,58,56,38,43,41.13,39.72,26.95,30.5
Middle Hip-hop,140,101,103,93,94,72.14,73.57,66.43,67.14
LA style Hip-hop,141,79,86,49,45,56.03,60.99,34.75,31.91
House,136,116,122,96,85,85.29,89.71,70.59,62.5
Waack,141,49,43,42,48,34.75,30.5,29.79,34.04
Krump,137,61,49,58,54,44.53,35.77,42.34,39.42
Street Jazz,129,34,33,29,38,26.36,25.58,22.48,29.46
Ballet Jazz,136,52,47,53,50,38.24,34.56,38.97,36.76
