genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,62.96,50.0,64.81,40.43,37.04,57.45
Pop,74.03,48.08,45.45,41.33,40.26,41.33
Lock,60.34,53.49,41.38,50.0,46.55,44.64
Middle Hip-hop,87.38,84.04,73.27,72.82,74.26,74.76
LA style Hip-hop,73.26,57.14,46.84,41.86,43.04,45.35
House,85.25,76.04,69.83,67.21,67.24,73.77
Waack,44.9,41.67,48.98,31.25,44.9,46.51
Krump,60.66,62.07,54.1,51.85,59.02,48.28
Street Jazz,41.18,34.21,26.47,23.68,26.32,27.27
Ballet Jazz,48.08,54.72,52.83,54.0,53.85,49.06
