genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,63,57,40,34,85,63.64,57.58,40.4,34.34,85.86
Pop,141,72,72,48,52,118,51.06,51.06,34.04,36.88,83.69
Lock,141,60,65,54,52,116,42.55,46.1,38.3,36.88,82.27
Middle Hip-hop,140,111,103,102,106,132,79.29,73.57,72.86,75.71,94.29
LA style Hip-hop,141,84,98,57,56,120,59.57,69.5,40.43,39.72,85.11
House,136,107,107,87,96,136,78.68,78.68,63.97,70.59,100.0
Waack,141,65,58,44,48,114,46.1,41.13,31.21,34.04,80.85
Krump,137,61,63,58,62,110,44.53,45.99,42.34,45.26,80.29
Street Jazz,129,46,39,42,46,95,35.66,30.23,32.56,35.66,73.64
Ballet Jazz,136,60,61,50,52,102,44.12,44.85,36.76,38.24,75.0
