genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,18,21,11,12,35,18.18,21.21,11.11,12.12,35.35
Pop,141,11,18,22,21,44,7.8,12.77,15.6,14.89,31.21
Lock,141,28,23,29,20,63,19.86,16.31,20.57,14.18,44.68
Middle Hip-hop,140,20,20,23,23,58,14.29,14.29,16.43,16.43,41.43
LA style Hip-hop,141,17,15,23,24,49,12.06,10.64,16.31,17.02,34.75
House,136,62,59,67,62,118,45.59,43.38,49.26,45.59,86.76
Waack,141,23,21,17,20,50,16.31,14.89,12.06,14.18,35.46
Krump,137,22,23,22,30,54,16.06,16.79,16.06,21.9,39.42
Street Jazz,129,16,15,24,22,43,12.4,11.63,18.6,17.05,33.33
Ballet Jazz,136,22,21,29,27,59,16.18,15.44,21.32,19.85,43.38
