genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,47.62,50.0,11.11,23.81,27.78,28.57
Pop,33.33,36.36,18.18,33.33,14.29,36.36
Lock,28.57,34.48,24.14,26.09,14.29,31.03
Middle Hip-hop,45.0,34.78,21.74,30.43,26.09,26.09
LA style Hip-hop,47.06,45.83,26.09,16.67,25.0,17.39
House,56.45,59.7,53.73,41.94,45.16,58.21
Waack,34.78,50.0,34.78,14.29,21.74,33.33
Krump,43.48,40.0,54.55,43.33,30.0,30.43
Street Jazz,62.5,45.83,37.5,13.64,31.82,25.0
Ballet Jazz,50.0,41.38,34.48,25.93,22.22,24.14
