genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,77,76,56,48,92,77.78,76.77,56.57,48.48,92.93
Pop,141,101,101,68,75,127,71.63,71.63,48.23,53.19,90.07
Lock,141,78,70,65,64,118,55.32,49.65,46.1,45.39,83.69
Middle Hip-hop,140,120,120,107,110,137,85.71,85.71,76.43,78.57,97.86
LA style Hip-hop,141,108,110,76,72,125,76.6,78.01,53.9,51.06,88.65
House,136,130,130,117,111,136,95.59,95.59,86.03,81.62,100.0
Waack,141,83,74,69,65,111,58.87,52.48,48.94,46.1,78.72
Krump,137,87,88,84,80,115,63.5,64.23,61.31,58.39,83.94
Street Jazz,129,62,59,57,66,108,48.06,45.74,44.19,51.16,83.72
Ballet Jazz,136,81,74,74,68,119,59.56,54.41,54.41,50.0,87.5
