genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,89.47,77.08,78.57,83.33,85.42,82.14
Pop,82.18,70.59,89.71,78.67,81.33,80.88
Lock,65.71,65.62,64.62,65.62,64.06,64.62
Middle Hip-hop,92.5,90.65,88.79,87.27,87.27,86.92
LA style Hip-hop,90.74,73.61,90.79,87.5,94.44,89.47
House,96.15,95.5,95.73,98.2,96.4,96.58
Waack,77.03,66.15,78.26,60.0,76.92,71.01
Krump,83.91,82.5,77.38,75.0,78.75,76.19
Street Jazz,67.8,66.67,57.89,59.32,59.68,56.14
Ballet Jazz,70.27,64.71,66.22,66.18,69.12,64.86
