genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,33.33,23.53,11.76,22.22,12.5,27.78
Pop,38.46,17.65,14.29,17.65,11.76,14.29
Lock,36.0,36.0,40.0,22.22,32.0,16.0
Middle Hip-hop,37.5,55.88,29.03,32.35,35.29,19.35
LA style Hip-hop,42.11,29.63,22.22,36.84,16.67,22.22
House,37.78,54.84,35.48,37.25,33.33,29.03
Waack,11.11,11.11,22.22,18.75,16.67,38.89
Krump,33.33,29.17,14.81,25.0,29.63,25.0
Street Jazz,38.89,25.0,27.78,20.0,16.67,37.5
Ballet Jazz,30.43,34.78,35.0,26.09,26.09,17.39
