genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,87.69,45.71,31.25,32.31,34.38,36.92
Pop,73.49,42.59,49.4,40.0,39.76,43.75
Lock,50.0,44.0,43.1,41.3,37.93,40.0
Middle Hip-hop,87.5,70.53,57.28,70.19,67.96,56.73
LA style Hip-hop,68.13,68.25,53.09,48.35,53.09,56.04
House,87.6,84.21,71.9,75.44,68.6,73.68
Waack,51.67,37.78,40.74,33.33,31.48,43.33
Krump,62.16,60.71,54.1,45.95,55.74,51.35
Street Jazz,56.1,43.9,41.46,22.5,34.15,34.15
Ballet Jazz,55.77,38.46,46.15,30.43,28.85,42.31
