genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,81.43,58.0,52.86,47.06,48.57,52.94
Pop,70.0,35.94,33.33,47.5,51.11,32.5
Lock,59.38,47.27,44.26,53.12,45.9,51.56
Middle Hip-hop,87.93,85.45,80.91,76.72,77.27,81.03
LA style Hip-hop,58.75,53.52,52.78,55.0,56.94,50.0
House,88.03,68.57,78.63,64.96,66.67,81.2
Waack,49.18,38.18,52.46,42.11,40.98,49.12
Krump,62.86,59.02,54.69,50.0,54.69,50.0
Street Jazz,37.5,50.0,42.86,36.96,42.86,42.59
Ballet Jazz,53.57,45.59,42.65,43.1,46.55,44.12
