Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,69,99,69.7,Break,44,99,44.44
House,119,136,87.5,House,112,136,82.35
Ballet Jazz,76,136,55.88,Ballet Jazz,45,136,33.09
Street Jazz,48,129,37.21,Street Jazz,43,129,33.33
Krump,74,137,54.01,Krump,48,137,35.04
LA style Hip-hop,96,141,68.09,LA style Hip-hop,59,141,41.84
Lock,74,141,52.48,Lock,40,141,28.37
Middle Hip-hop,118,140,84.29,Middle Hip-hop,78,140,55.71
Pop,89,141,63.12,Pop,61,141,43.26
Waack,64,141,45.39,Waack,39,141,27.66
