Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,53,99,53.54,Break,27,99,27.27
House,83,136,61.03,House,70,136,51.47
Ballet Jazz,32,136,23.53,Ballet Jazz,46,136,33.82
Street Jazz,40,129,31.01,Street Jazz,35,129,27.13
Krump,50,137,36.5,Krump,56,137,40.88
LA style Hip-hop,74,141,52.48,LA style Hip-hop,51,141,36.17
Lock,54,141,38.3,Lock,44,141,31.21
Middle Hip-hop,101,140,72.14,Middle Hip-hop,90,140,64.29
Pop,72,141,51.06,Pop,47,141,33.33
Waack,41,141,29.08,Waack,38,141,26.95
