Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,68,99,68.69,Break,44,99,44.44
House,106,136,77.94,House,112,136,82.35
Ballet Jazz,62,136,45.59,Ballet Jazz,45,136,33.09
Street Jazz,68,129,52.71,Street Jazz,43,129,33.33
Krump,79,137,57.66,Krump,48,137,35.04
LA style Hip-hop,94,141,66.67,LA style Hip-hop,59,141,41.84
Lock,76,141,53.9,Lock,40,141,28.37
Middle Hip-hop,123,140,87.86,Middle Hip-hop,78,140,55.71
Pop,94,141,66.67,Pop,61,141,43.26
Waack,60,141,42.55,Waack,39,141,27.66
