genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,45,53,51,49,88,45.45,53.54,51.52,49.49,88.89
Pop,141,47,42,53,51,102,33.33,29.79,37.59,36.17,72.34
Lock,141,58,71,78,54,124,41.13,50.35,55.32,38.3,87.94
Middle Hip-hop,140,77,76,76,77,121,55.0,54.29,54.29,55.0,86.43
LA style Hip-hop,141,58,71,64,75,120,41.13,50.35,45.39,53.19,85.11
House,136,107,114,101,90,135,78.68,83.82,74.26,66.18,99.26
Waack,141,53,59,61,64,117,37.59,41.84,43.26,45.39,82.98
Krump,137,75,70,68,69,119,54.74,51.09,49.64,50.36,86.86
Street Jazz,129,47,43,46,47,95,36.43,33.33,35.66,36.43,73.64
Ballet Jazz,136,57,59,52,60,100,41.91,43.38,38.24,44.12,73.53
