genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,66.67,61.22,51.11,61.22,53.33,49.02
Pop,54.76,45.1,46.81,47.62,48.94,50.0
Lock,62.07,57.41,62.07,48.15,38.89,64.79
Middle Hip-hop,69.74,75.0,63.16,67.11,61.04,65.79
LA style Hip-hop,74.14,65.62,46.55,60.56,56.9,64.06
House,85.05,87.78,88.12,88.89,85.56,89.11
Waack,54.72,50.82,56.6,49.15,56.6,38.98
Krump,68.57,60.29,63.24,59.42,62.32,63.24
Street Jazz,53.49,47.83,34.78,44.19,38.3,46.51
Ballet Jazz,68.42,65.38,61.54,62.71,63.16,59.62
