genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,70.91,73.33,60.78,62.22,66.67,70.59
Pop,77.46,62.5,77.5,56.92,72.31,52.5
Lock,68.33,50.0,66.67,70.21,63.83,69.05
Middle Hip-hop,87.76,88.42,76.53,76.84,75.79,74.04
LA style Hip-hop,75.95,46.51,79.07,74.58,66.1,74.42
House,89.81,77.65,79.12,96.47,78.82,90.11
Waack,59.26,35.0,58.7,57.5,60.0,54.35
Krump,58.49,71.15,48.08,60.0,62.26,51.92
Street Jazz,42.86,32.5,41.46,45.0,37.5,48.78
Ballet Jazz,63.83,64.58,56.25,59.57,55.0,38.3
