genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,59,55,51,45,86,59.6,55.56,51.52,45.45,86.87
Pop,141,82,71,40,65,114,58.16,50.35,28.37,46.1,80.85
Lock,141,60,65,42,47,99,42.55,46.1,29.79,33.33,70.21
Middle Hip-hop,140,98,104,104,95,135,70.0,74.29,74.29,67.86,96.43
LA style Hip-hop,141,79,85,43,59,114,56.03,60.28,30.5,41.84,80.85
House,136,108,120,91,85,135,79.41,88.24,66.91,62.5,99.26
Waack,141,61,54,46,40,101,43.26,38.3,32.62,28.37,71.63
Krump,137,53,55,52,60,99,38.69,40.15,37.96,43.8,72.26
Street Jazz,129,45,42,41,40,90,34.88,32.56,31.78,31.01,69.77
Ballet Jazz,136,60,47,48,63,104,44.12,34.56,35.29,46.32,76.47
