genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,17,25,25,21,51,17.17,25.25,25.25,21.21,51.52
Pop,141,42,34,17,25,72,29.79,24.11,12.06,17.73,51.06
Lock,141,28,34,22,17,60,19.86,24.11,15.6,12.06,42.55
Middle Hip-hop,140,52,58,62,69,110,37.14,41.43,44.29,49.29,78.57
LA style Hip-hop,141,32,44,26,21,74,22.7,31.21,18.44,14.89,52.48
House,136,44,70,49,58,115,32.35,51.47,36.03,42.65,84.56
Waack,141,21,20,26,16,57,14.89,14.18,18.44,11.35,40.43
Krump,137,22,21,20,24,65,16.06,15.33,14.6,17.52,47.45
Street Jazz,129,19,28,8,23,56,14.73,21.71,6.2,17.83,43.41
Ballet Jazz,136,27,26,32,30,71,19.85,19.12,23.53,22.06,52.21
