genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,44.0,40.0,28.0,32.0,28.57,36.0
Pop,38.1,20.0,16.67,32.35,38.1,14.71
Lock,41.18,22.73,25.0,23.53,25.0,32.35
Middle Hip-hop,56.9,72.46,45.16,46.38,40.58,53.23
LA style Hip-hop,40.91,15.38,34.38,20.45,18.75,31.82
House,40.0,48.28,24.49,51.43,27.59,35.71
Waack,23.81,26.92,30.77,30.0,14.29,15.38
Krump,18.18,33.33,13.64,16.67,12.5,14.29
Street Jazz,28.57,8.7,5.26,25.0,21.74,14.29
Ballet Jazz,22.22,40.62,34.38,23.33,36.67,28.12
