genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,43.24,41.18,48.65,36.36,37.84,38.24
Pop,41.86,19.05,27.91,33.33,44.19,12.82
Lock,39.02,25.81,31.71,35.0,24.39,32.5
Middle Hip-hop,65.22,75.0,48.81,52.5,51.25,51.19
LA style Hip-hop,46.34,14.71,21.95,26.83,19.51,14.63
House,35.56,45.65,19.57,28.89,20.0,30.43
Waack,29.55,28.57,31.82,36.36,27.27,40.0
Krump,33.33,28.95,24.14,28.95,31.58,15.15
Street Jazz,17.86,16.67,16.67,20.83,17.86,23.33
Ballet Jazz,33.33,30.56,30.0,16.67,22.22,23.33
