genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,27.78,12.5,11.11,20.0,16.67,6.25
Pop,40.0,21.74,20.0,8.7,17.39,14.29
Lock,31.58,20.0,24.0,21.05,15.79,20.0
Middle Hip-hop,31.82,27.78,25.93,19.44,25.0,29.63
LA style Hip-hop,47.06,26.09,4.35,27.78,5.56,34.78
House,20.0,43.18,13.64,15.38,25.64,13.64
Waack,36.84,10.0,25.0,15.79,16.67,30.0
Krump,38.46,34.78,15.38,27.27,19.23,17.39
Street Jazz,45.0,31.25,10.0,12.5,15.0,26.67
Ballet Jazz,33.33,15.38,11.54,38.1,38.1,15.38
