genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,18,15,16,12,46,18.18,15.15,16.16,12.12,46.46
Pop,141,15,13,14,23,47,10.64,9.22,9.93,16.31,33.33
Lock,141,19,19,25,19,58,13.48,13.48,17.73,13.48,41.13
Middle Hip-hop,140,22,19,27,36,68,15.71,13.57,19.29,25.71,48.57
LA style Hip-hop,141,16,17,23,18,50,11.35,12.06,16.31,12.77,35.46
House,136,25,16,44,39,81,18.38,11.76,32.35,28.68,59.56
Waack,141,18,19,20,13,48,12.77,13.48,14.18,9.22,34.04
Krump,137,26,22,23,22,63,18.98,16.06,16.79,16.06,45.99
Street Jazz,129,20,14,15,16,43,15.5,10.85,11.63,12.4,33.33
Ballet Jazz,136,19,21,26,21,59,13.97,15.44,19.12,15.44,43.38
