genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,80.3,64.29,66.67,71.43,69.05,66.67
Pop,80.25,65.91,75.0,64.81,77.78,65.91
Lock,63.64,65.0,70.0,54.35,60.87,65.0
Middle Hip-hop,90.38,86.25,83.75,86.59,81.71,87.5
LA style Hip-hop,78.57,70.49,72.13,83.61,80.33,83.61
House,95.31,79.31,96.74,95.4,95.4,95.65
Waack,54.55,51.61,64.86,70.97,61.29,64.86
Krump,72.13,74.14,60.66,72.41,60.34,65.15
Street Jazz,48.84,57.14,47.62,48.84,46.94,47.62
Ballet Jazz,57.89,55.36,49.23,46.43,60.71,59.65
