genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,67,66,48,42,92,67.68,66.67,48.48,42.42,92.93
Pop,141,91,81,44,54,118,64.54,57.45,31.21,38.3,83.69
Lock,141,62,55,40,46,96,43.97,39.01,28.37,32.62,68.09
Middle Hip-hop,140,104,106,80,82,125,74.29,75.71,57.14,58.57,89.29
LA style Hip-hop,141,84,94,61,61,115,59.57,66.67,43.26,43.26,81.56
House,136,128,128,92,87,135,94.12,94.12,67.65,63.97,99.26
Waack,141,57,55,37,31,88,40.43,39.01,26.24,21.99,62.41
Krump,137,61,72,66,58,104,44.53,52.55,48.18,42.34,75.91
Street Jazz,129,50,43,42,49,94,38.76,33.33,32.56,37.98,72.87
Ballet Jazz,136,65,57,66,56,114,47.79,41.91,48.53,41.18,83.82
