Agenre_name,Ahand_hits_2S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_2S,Btotal,Bpercentage
Break,16,99,16.16,Break,15,99,15.15
House,63,136,46.32,House,83,136,61.03
Ballet Jazz,18,136,13.24,Ballet Jazz,11,136,8.09
Street Jazz,15,129,11.63,Street Jazz,12,129,9.3
Krump,17,137,12.41,Krump,20,137,14.6
LA style Hip-hop,16,141,11.35,LA style Hip-hop,27,141,19.15
Lock,14,141,9.93,Lock,17,141,12.06
Middle Hip-hop,15,140,10.71,Middle Hip-hop,43,140,30.71
Pop,10,141,7.09,Pop,6,141,4.26
Waack,10,141,7.09,Waack,10,141,7.09
