Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,30,99,30.3,Break,25,99,25.25
House,72,136,52.94,House,103,136,75.74
Ballet Jazz,40,136,29.41,Ballet Jazz,24,136,17.65
Street Jazz,26,129,20.16,Street Jazz,21,129,16.28
Krump,38,137,27.74,Krump,32,137,23.36
LA style Hip-hop,30,141,21.28,LA style Hip-hop,33,141,23.4
Lock,29,141,20.57,Lock,29,141,20.57
Middle Hip-hop,42,140,30.0,Middle Hip-hop,47,140,33.57
Pop,24,141,17.02,Pop,15,141,10.64
Waack,25,141,17.73,Waack,19,141,13.48
