Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,18,99,18.18,Break,17,99,17.17
House,40,136,29.41,House,62,136,45.59
Ballet Jazz,23,136,16.91,Ballet Jazz,20,136,14.71
Street Jazz,15,129,11.63,Street Jazz,16,129,12.4
Krump,20,137,14.6,Krump,24,137,17.52
LA style Hip-hop,19,141,13.48,LA style Hip-hop,27,141,19.15
Lock,15,141,10.64,Lock,25,141,17.73
Middle Hip-hop,19,140,13.57,Middle Hip-hop,31,140,22.14
Pop,10,141,7.09,Pop,14,141,9.93
Waack,16,141,11.35,Waack,18,141,12.77
