Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,13,99,13.13,Break,16,99,16.16
House,45,136,33.09,House,51,136,37.5
Ballet Jazz,16,136,11.76,Ballet Jazz,23,136,16.91
Street Jazz,18,129,13.95,Street Jazz,14,129,10.85
Krump,27,137,19.71,Krump,24,137,17.52
LA style Hip-hop,17,141,12.06,LA style Hip-hop,18,141,12.77
Lock,25,141,17.73,Lock,18,141,12.77
Middle Hip-hop,24,140,17.14,Middle Hip-hop,34,140,24.29
Pop,13,141,9.22,Pop,17,141,12.06
Waack,18,141,12.77,Waack,12,141,8.51
