genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,41.94,45.95,21.21,29.73,32.43,24.24
Pop,28.0,15.62,12.5,23.08,19.23,18.75
Lock,43.18,18.42,34.21,11.36,13.51,31.82
Middle Hip-hop,54.9,63.64,40.0,43.94,37.88,46.67
LA style Hip-hop,38.64,48.08,35.0,28.85,26.92,38.64
House,59.46,62.32,62.16,52.11,54.05,66.2
Waack,26.47,18.42,21.05,20.59,31.03,23.68
Krump,43.48,48.84,39.13,37.21,39.13,39.02
Street Jazz,37.93,12.0,31.03,17.86,13.79,32.14
Ballet Jazz,54.29,32.0,37.14,28.12,25.71,31.25
