Agenre_name,Ahand_hits_2S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_2S,Btotal,Bpercentage
Break,36,99,36.36,Break,39,99,39.39
House,111,136,81.62,House,113,136,83.09
Ballet Jazz,35,136,25.74,Ballet Jazz,35,136,25.74
Street Jazz,27,129,20.93,Street Jazz,30,129,23.26
Krump,57,137,41.61,Krump,41,137,29.93
LA style Hip-hop,33,141,23.4,LA style Hip-hop,46,141,32.62
Lock,46,141,32.62,Lock,40,141,28.37
Middle Hip-hop,50,140,35.71,Middle Hip-hop,54,140,38.57
Pop,22,141,15.6,Pop,21,141,14.89
Waack,29,141,20.57,Waack,32,141,22.7
