Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,49,99,49.49,Break,51,99,51.52
House,115,136,84.56,House,130,136,95.59
Ballet Jazz,64,136,47.06,Ballet Jazz,51,136,37.5
Street Jazz,45,129,34.88,Street Jazz,39,129,30.23
Krump,73,137,53.28,Krump,66,137,48.18
LA style Hip-hop,64,141,45.39,LA style Hip-hop,51,141,36.17
Lock,65,141,46.1,Lock,61,141,43.26
Middle Hip-hop,72,140,51.43,Middle Hip-hop,70,140,50.0
Pop,50,141,35.46,Pop,29,141,20.57
Waack,64,141,45.39,Waack,45,141,31.91
