Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,44,99,44.44,Break,51,99,51.52
House,110,136,80.88,House,130,136,95.59
Ballet Jazz,63,136,46.32,Ballet Jazz,51,136,37.5
Street Jazz,47,129,36.43,Street Jazz,39,129,30.23
Krump,64,137,46.72,Krump,66,137,48.18
LA style Hip-hop,60,141,42.55,LA style Hip-hop,51,141,36.17
Lock,63,141,44.68,Lock,61,141,43.26
Middle Hip-hop,77,140,55.0,Middle Hip-hop,70,140,50.0
Pop,56,141,39.72,Pop,29,141,20.57
Waack,63,141,44.68,Waack,45,141,31.91
