Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,29,99,29.29,Break,27,99,27.27
House,93,136,68.38,House,79,136,58.09
Ballet Jazz,40,136,29.41,Ballet Jazz,50,136,36.76
Street Jazz,29,129,22.48,Street Jazz,29,129,22.48
Krump,45,137,32.85,Krump,42,137,30.66
LA style Hip-hop,31,141,21.99,LA style Hip-hop,45,141,31.91
Lock,37,141,26.24,Lock,39,141,27.66
Middle Hip-hop,52,140,37.14,Middle Hip-hop,44,140,31.43
Pop,31,141,21.99,Pop,34,141,24.11
Waack,35,141,24.82,Waack,44,141,31.21
