Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,36,99,36.36,Break,31,99,31.31
House,98,136,72.06,House,86,136,63.24
Ballet Jazz,39,136,28.68,Ballet Jazz,34,136,25.0
Street Jazz,26,129,20.16,Street Jazz,27,129,20.93
Krump,54,137,39.42,Krump,44,137,32.12
LA style Hip-hop,40,141,28.37,LA style Hip-hop,41,141,29.08
Lock,42,141,29.79,Lock,49,141,34.75
Middle Hip-hop,48,140,34.29,Middle Hip-hop,43,140,30.71
Pop,24,141,17.02,Pop,33,141,23.4
Waack,38,141,26.95,Waack,29,141,20.57
