Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,47,99,47.47,Break,51,99,51.52
House,110,136,80.88,House,130,136,95.59
Ballet Jazz,54,136,39.71,Ballet Jazz,51,136,37.5
Street Jazz,49,129,37.98,Street Jazz,39,129,30.23
Krump,67,137,48.91,Krump,66,137,48.18
LA style Hip-hop,63,141,44.68,LA style Hip-hop,51,141,36.17
Lock,65,141,46.1,Lock,61,141,43.26
Middle Hip-hop,72,140,51.43,Middle Hip-hop,70,140,50.0
Pop,53,141,37.59,Pop,29,141,20.57
Waack,52,141,36.88,Waack,45,141,31.91
