Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,36,99,36.36,Break,27,99,27.27
House,98,136,72.06,House,79,136,58.09
Ballet Jazz,39,136,28.68,Ballet Jazz,50,136,36.76
Street Jazz,26,129,20.16,Street Jazz,29,129,22.48
Krump,54,137,39.42,Krump,42,137,30.66
LA style Hip-hop,40,141,28.37,LA style Hip-hop,45,141,31.91
Lock,42,141,29.79,Lock,39,141,27.66
Middle Hip-hop,48,140,34.29,Middle Hip-hop,44,140,31.43
Pop,24,141,17.02,Pop,34,141,24.11
Waack,38,141,26.95,Waack,44,141,31.21
